FORGAP	FDR	file:	start	day	134			
9								
timesteps								
RelHum								
Temp								
Wind								
Press								
Cloud								
Rain								
dayno								
time								
1	98.2	24.34	0.069	1004	0	0	147	1
2	98.2	24.44	0.015	1004	0	0	147	2
3	98.7	24.44	0.004	1003	0	0	147	3
4	99	24.4	0.016	1003	0	0	147	4
5	99.2	24.51	0.022	1004	0	0	147	5
6	99.1	24.45	0.002	1005	0	0	147	6
7	99.2	24.75	0.002	1006	0.85	0	147	7
8	92.6	26.71	0.096	1006	0.77	0	147	8
9	80.7	28.21	0.455	1006	0.58	0	147	9
10	77.4	29.48	0.559	1006	0.82	0	147	10
11	79.6	30.11	0.553	1006	0.78	2	147	11
12	63.56	31.65	0.561	1005	0.86	0	147	12
13	72	31.69	0.585	1004	0.89	0	147	13
14	96.6	27.08	0.359	1004	0.29	9.4	147	14
15	83.4	29.21	0.369	1002	0.84	0.4	147	15
16	86.5	28.54	0.202	1002	0.52	0.2	147	16
17	98.2	25.28	0.488	1004	0.38	0	147	17
18	99.3	25.08	0.174	1004	0.09	0	147	18
19	99.3	24.33	0.134	1005	0	0	147	19
20	99.5	24.02	0.046	1005	0	0	147	20
21	99.5	23.93	0.035	1006	0	0	147	21
22	99.6	23.98	0.072	1006	0	0	147	22
23	99.7	24.08	0.028	1006	0	0	147	23
24	99.7	24.12	0.141	1006	0	0	148	0
25	99.8	24.19	0.026	1006	0	0	148	1
26	99.8	24.19	0.181	1005	0	0	148	2
27	99.8	24.38	0.003	1005	0	0	148	3
28	99.9	24.36	0.028	1005	0	0	148	4
29	99.8	24.18	0.003	1005	0	0.2	148	5
30	99.9	24.37	0.003	1005	0	0	148	6
31	99.9	24.93	0.001	1006	1	0	148	7
32	99.6	25.34	0.098	1006	0.92	0	148	8
33	92.3	27.15	0.253	1006	0.63	0	148	9
34	81.7	28.99	0.37	1005	0.86	0.6	148	10
35	82.2	29.72	0.446	1005	0.7	0.2	148	11
36	81.2	30.95	0.401	1004	0.71	0	148	12
37	91.4	28.22	0.606	1003	0.72	0	148	13
38	96.1	27.9	0.435	1002	0.58	34.4	148	14
39	95.3	27.82	0.14	1002	0.26	5.2	148	15
40	94	28.55	0.134	1002	0.67	0	148	16
41	99.4	25.5	0.635	1003	0.1	0	148	17
42	99.6	25.45	0.094	1003	0.08	1.4	148	18
43	99.6	25.19	0.023	1004	0	1.2	148	19
44	99.7	25.18	0.015	1005	0	0	148	20
45	99.8	25.35	0.112	1006	0	0	148	21
46	99.8	25.35	0.083	1006	0	0	148	22
47	99.8	25.41	0.111	1006	0	0.2	148	23
48	99.8	25.15	0.012	1006	0	0	149	0
49	99.9	24.65	0.03	1006	0	0.2	149	1
50	99.8	24.19	0.034	1005	0	0	149	2
51	99.9	23.86	0.048	1005	0	0	149	3
52	99.8	23.83	0.029	1005	0	0	149	4
53	99.9	23.58	0.031	1006	0	0	149	5
54	99.9	23.62	0.023	1006	0	0	149	6
55	99.9	24.02	0.099	1006	1	0	149	7
56	99.9	24.8	0.156	1006	0.96	0	149	8
57	97.8	25.97	0.151	1007	0.66	6.8	149	9
58	86.4	27.53	0.425	1007	0.74	0.4	149	10
59	88.9	28.43	0.377	1007	0.65	5.6	149	11
60	98.4	26.54	0.434	1005	0.31	0.4	149	12
61	97.4	27.36	0.379	1004	0.61	1.2	149	13
62	98.8	25.96	0.288	1004	0.1	1.2	149	14
63	99	25.97	0.143	1004	0.14	1.6	149	15
64	99.5	25.89	0.071	1004	0.12	0.8	149	16
65	99.2	25.53	0.008	1005	0.14	0.2	149	17
66	99.3	25.48	0	1005	0.23	0	149	18
67	99.4	25.12	0.01	1006	0	0	149	19
68	99.4	24.84	0	1006	0	0	149	20
69	99.5	24.72	0	1007	0	0	149	21
70	99.6	24.67	0	1007	0	0	149	22
71	99.6	24.71	0	1007	0	0	149	23
72	99.6	24.65	0.044	1007	0	0	150	0
73	99.6	24.51	0.027	1006	0	0	150	1
74	99.6	24.28	0.005	1006	0	0	150	2
75	99.6	24.11	0.001	1006	0	0	150	3
76	99.6	24.05	0	1006	0	0	150	4
77	99.7	24	0	1006	0	0	150	5
78	99.7	24.01	0	1007	0	0	150	6
79	99.7	24.3	0	1008	1	0	150	7
80	99.6	24.85	0.016	1008	0.55	6	150	8
81	93.3	26.75	0.327	1008	0.81	0.6	150	9
82	89.2	28.54	0.473	1008	0.92	0	150	10
83	96.7	26.34	0.367	1008	0.43	0.4	150	11
84	94.2	28.03	0.295	1007	0.54	0	150	12
85	78.6	30.78	0.552	1005	0.95	0	150	13
86	97	27.19	0.337	1004	0.38	0	150	14
87	94.2	27.83	0.102	1004	0.32	0.2	150	15
88	97.4	27.15	0.191	1004	0.32	0	150	16
89	96.8	26	0.256	1005	0.16	0	150	17
90	98.1	25.3	0.117	1005	0.3	0	150	18
91	98.6	24.97	0.124	1006	0	0	150	19
92	98.7	24.99	0.074	1007	0	0	150	20
93	98.7	24.8	0.045	1007	0	0	150	21
94	98.9	24.44	0	1007	0	0	150	22
95	99.2	24.56	0.049	1007	0	0	150	23
96	99.2	24.64	0.022	1007	0	0	151	0
97	99.1	24.61	0.002	1006	0	0	151	1
98	99.2	24.6	0.029	1006	0	0	151	2
99	99.2	24.33	0.023	1005	0	0	151	3
100	99.2	23.97	0.001	1005	0	0	151	4
101	99.3	23.76	0	1005	0	0	151	5
102	99.4	23.6	0	1006	0	0	151	6
103	99.4	24.18	0	1006	1	0	151	7
104	91.8	26.13	0.08	1007	1	0	151	8
105	82.8	27.45	0.175	1007	0.66	0	151	9
106	82.9	27.78	0.253	1007	0.55	0	151	10
107	78.9	29.04	0.32	1006	0.53	0	151	11
108	80.3	30.95	0.648	1006	0.93	0	151	12
109	72.9	31.16	0.553	1005	0.79	0	151	13
110	66.35	32.11	0.428	1003	0.87	0	151	14
111	70	31.92	0.388	1002	0.88	0	151	15
112	74.2	30.45	0.141	1002	0.64	0	151	16
113	80.8	29.81	0.145	1003	0.95	0.2	151	17
114	90.3	28.36	0.08	1003	1	0	151	18
115	90.1	27.05	0.308	1005	0	0	151	19
116	92.7	26.2	0.123	1006	0	0	151	20
117	97	25.11	0.067	1007	0	0	151	21
118	98.2	24.88	0.036	1007	0	0	151	22
119	98.9	24.61	0.018	1007	0	0	151	23
120	99.1	24.48	0	1007	0	0.2	152	0
121	99.3	24.51	0	1006	0	0	152	1
122	99.4	24.52	0	1005	0	0	152	2
123	99.5	24.58	0.001	1005	0	0	152	3
124	99.5	24.59	0.051	1005	0	0	152	4
125	99.5	24.47	0	1005	0	0	152	5
126	99.5	24.27	0	1006	0	0	152	6
127	99.6	24.93	0	1006	1	0	152	7
128	93.7	26.51	0.045	1006	1	0	152	8
129	92.5	27.28	0.156	1007	0.61	0	152	9
130	84.7	29.44	0.282	1006	0.75	0	152	10
131	73.3	31.16	0.475	1005	1	0	152	11
132	67.17	31.32	0.475	1004	0.75	0	152	12
133	67.96	31.76	0.405	1003	0.64	0.2	152	13
134	77.9	30.31	0.404	1002	0.63	0	152	14
135	86	29.4	0.147	1001	0.32	0	152	15
136	93.7	27.91	0.146	1002	0.31	16.4	152	16
137	97.5	27.52	0.08	1002	0.42	0.2	152	17
138	98	27.35	0.241	1004	0.8	0	152	18
139	99.3	24.78	0.509	1005	0	0	152	19
140	99.6	24.83	0.058	1006	0	0	152	20
141	99.6	24.69	0.06	1007	0	0.2	152	21
142	99.6	24.46	0.024	1008	0	0	152	22
143	99.7	24.52	0.016	1008	0	1.6	152	23
144	99.8	24.58	0.021	1008	0	3.6	153	0
145	99.7	24.13	0.13	1007	0	2.8	153	1
146	99.8	23.71	0.043	1007	0	0.4	153	2
147	99.8	23.72	0.002	1007	0	0	153	3
148	99.8	23.82	0.141	1007	0	0	153	4
149	99.8	23.84	0.011	1007	0	0	153	5
150	99.8	23.78	0.051	1008	0	0	153	6
151	99.8	24.12	0.011	1008	1	0	153	7
152	99.8	25.36	0.102	1008	1	0	153	8
153	91.3	27.09	0.264	1008	0.86	0	153	9
154	83.9	28.17	0.34	1008	0.74	0	153	10
155	88.5	28.96	0.354	1008	0.54	5.2	153	11
156	80.5	30.01	0.48	1006	0.64	1.8	153	12
157	74.7	31.08	0.456	1005	0.72	0	153	13
158	94.3	28.24	0.359	1005	0.45	0	153	14
159	98.9	24.74	0.445	1004	0.14	0	153	15
160	98.5	25.5	0.21	1004	0.36	0	153	16
161	99	25.78	0.077	1004	0.48	1.2	153	17
162	99.2	25.74	0.073	1005	0.94	5.6	153	18
163	99.4	25.39	0.062	1006	0	0.2	153	19
164	99.5	25.11	0.202	1008	0	7.8	153	20
165	99.6	25.04	0.203	1009	0	0	153	21
166	99.6	24.71	0.136	1009	0	0.2	153	22
167	99.6	24.36	0.188	1009	0	0.4	153	23
168	99.7	24.26	0.093	1009	0	0	154	0
169	99.7	24.22	0.026	1008	0	0	154	1
170	99.8	24.12	0.009	1007	0	0	154	2
171	99.8	24.1	0	1007	0	0.2	154	3
172	99.8	24.07	0	1007	0	0	154	4
